SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
410187,Eaches,-329,-196,-283,-250,-236,-298,-194,-147,-333,-123,-1,-229
415000,Eaches,1,1,1,0,1,1,0,0,0,0,0,1
430008,Eaches,156,185,93,892,654,438,916,553,613,385,368,279
430010,Eaches,108,600,859,786,792,53,565,869,635,595,231,292
430018,Eaches,213,263,116,385,359,143,267,77,386,304,124,347
430023,Eaches,223,461,146,533,221,78,515,72,430,575,667,538
430026,Eaches,174,327,347,272,286,163,333,301,291,56,397,181
430037,Eaches,575,320,252,547,405,146,268,517,145,61,185,460
430041,Eaches,353,1169,485,189,628,87,216,227,1983,343,1360,80
430044,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
430058,Eaches,577,1352,983,216,1085,1343,1804,1334,199,1391,448,931
430066,Eaches,1300,747,1292,1257,1201,51,645,1296,1279,1425,1553,193
430071,Eaches,736,161,740,554,399,142,441,20,295,786,842,237
430074,Eaches,986,6,325,76,277,1157,436,1194,347,542,72,441
430137,Eaches,5107,5452,4093,2379,2189,2962,1544,4171,1979,3288,1737,3247
430138,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
430139,Eaches,32,1644,4520,4942,5471,674,2973,2116,2553,628,2446,5466
430140,Eaches,1011,235,1393,485,2221,570,1763,265,716,227,258,220
430165,Eaches,2813,2940,552,2137,99,3645,2384,2124,478,2683,724,3329
430204,Eaches,335,637,654,623,455,502,1161,564,370,368,721,1407
430208,Eaches,564,402,2051,168,684,1884,2136,1107,216,1014,646,708
430209,Eaches,341,925,112,889,835,269,627,1082,977,84,599,664
430210,Eaches,134,282,5,566,57,269,4,477,498,553,310,424
430212,Eaches,213,61,129,186,165,90,264,97,132,85,255,155
430213,Eaches,402,565,676,455,575,142,22,533,66,559,538,635
430215,Eaches,52,158,176,246,84,195,264,263,185,83,213,247
430216,Eaches,20,61,27,18,114,23,58,111,72,35,63,120
430219,Eaches,356,399,368,708,1146,822,660,618,1172,590,1089,674
430221,Eaches,1509,26,1098,272,1431,452,599,1328,1208,1137,885,271
430237,Eaches,192,211,773,579,745,381,727,476,261,103,834,117
430253,Eaches,677,371,656,312,352,560,230,91,311,206,264,383
430254,Eaches,4097,4442,853,4475,4486,5152,2573,4820,4767,261,1865,1997
430255,Eaches,2531,4632,7790,4626,3550,7175,1764,4033,7402,6694,2353,5123
430257,Eaches,3407,3844,3589,2715,2200,4032,1947,263,4078,823,124,1360
430258,Eaches,1711,257,1823,2503,120,1338,2111,1973,2009,2835,4,1996
430259,Eaches,541,847,1185,183,1215,834,719,722,248,391,391,1075
430260,Eaches,719,126,720,240,81,399,343,495,153,503,561,777
430261,Eaches,1820,1212,1996,2290,1140,2146,605,1923,108,328,632,1101
430262,Eaches,887,824,810,169,1299,1290,579,1031,1269,817,1341,160
430263,Eaches,904,435,53,119,329,873,41,650,927,42,994,585
430265,Eaches,809,492,787,234,41,811,433,898,874,892,80,7
430266,Eaches,1747,2255,760,2704,746,2645,2136,1094,1590,1033,686,871
430267,Eaches,79,324,252,64,79,896,667,952,487,653,646,288
430268,Eaches,477,11,64,749,600,825,615,72,738,754,503,20
430269,Eaches,1324,1124,526,1691,1177,496,966,678,1755,430,429,1553
430275,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
430276,Eaches,0,7,0,1,7,4,7,4,4,5,7,5
430277,Eaches,1,0,0,0,0,0,1,1,0,1,0,1
430281,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
430333,Eaches,1295,1384,1606,1207,25,854,965,1068,403,419,745,950
430334,Eaches,2296,2304,800,1416,534,1012,415,263,1956,1924,2541,979
430335,Eaches,1570,932,447,1671,882,104,865,217,469,1855,409,147
430370,Eaches,83,200,17,115,135,67,126,133,89,144,149,120
430375,Eaches,313,872,174,1115,311,1059,739,244,919,542,574,457
430377,Eaches,659,574,415,237,380,442,38,809,836,721,563,903
430391,Eaches,4,7,1,5,6,0,0,2,3,3,0,4
430394,Eaches,5,10,4,10,11,11,1,7,1,6,1,5
430395,Eaches,174,38,109,27,75,85,163,144,2,3,170,149
430424,Eaches,200,259,12,240,157,394,125,391,40,300,191,414
430426,Eaches,219,1446,1315,1455,909,1112,704,1388,1482,78,1457,1565
430429,Eaches,359,76,56,426,62,53,108,423,159,296,437,54
430441,Eaches,678,527,295,129,746,433,396,602,189,576,654,583
430444,Eaches,249,350,387,516,455,185,259,247,32,263,341,383
430450,Eaches,299,1173,139,1673,1133,501,1909,537,827,1147,1891,113
430452,Eaches,1271,891,520,51,1333,588,558,750,414,238,825,1331
430465,Eaches,88,248,90,141,107,31,105,110,220,190,248,147
430469,Eaches,18,27,4,49,21,48,13,33,20,10,55,50
430471,Eaches,44,13,13,3,23,22,10,44,32,16,28,14
430850,Eaches,259,107,51,239,256,5,171,33,307,75,226,293
430967,Eaches,109,73,19,131,247,182,134,221,107,116,222,216
431205,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
431635,Eaches,1372,3444,1544,2987,1117,2623,1014,3506,1725,3504,1560,2130
431643,Eaches,2822,1771,2359,4058,3726,1632,2445,3702,758,1772,59,3977
431650,Eaches,1435,1197,1404,555,1988,1198,552,309,1964,1015,1077,554
431668,Eaches,990,945,1087,1244,1093,141,41,189,1205,408,1101,722
431676,Eaches,189,115,731,49,733,128,643,445,899,330,842,220
431684,Eaches,806,624,129,906,1446,338,1935,1192,1412,76,1236,919
431692,Eaches,714,627,1043,1392,539,398,409,518,791,425,997,1258
431700,Eaches,1046,1976,485,1340,1839,1431,832,1916,1084,2041,2005,841
431742,Eaches,4590,5457,7260,6594,6972,7025,1457,4556,7382,1388,3821,73
431783,Eaches,933,1194,240,19,1483,1075,1820,383,430,64,399,1296
431817,Eaches,397,1094,479,604,372,1138,929,587,313,299,365,1537
431957,Eaches,475,2450,66,1198,1574,1487,425,1257,1498,829,1268,801
432245,Eaches,775,519,527,267,722,215,715,485,642,259,668,418
432344,Eaches,1065,1023,893,879,1170,79,174,152,375,405,780,658
432351,Eaches,575,1279,287,348,2001,304,982,429,308,1455,1011,831
432369,Eaches,10,44,17,83,89,1013,501,678,494,654,323,294
432377,Eaches,528,747,202,984,105,63,116,762,211,259,629,930
432518,Eaches,1527,1445,167,1148,43,962,482,2922,1907,1305,1113,1720
432591,Eaches,167,634,811,135,87,82,614,460,695,199,791,831
432609,Eaches,493,551,24,562,503,239,302,289,175,65,521,334
432625,Eaches,1395,529,1816,1687,1302,1008,1690,137,969,489,59,1966
432708,Eaches,4160,2751,1320,2266,373,3978,4017,2642,60,3318,3062,875
432724,Eaches,8,586,551,99,476,251,522,591,903,440,961,968
432732,Eaches,64,574,875,832,1129,315,690,976,831,548,163,831
432765,Eaches,536,607,950,742,803,817,552,641,415,889,848,604
433144,Eaches,254,727,453,974,533,88,932,825,588,841,556,772
433169,Eaches,1302,1147,376,494,1417,506,1486,568,574,410,1048,1406
433177,Eaches,58,601,388,844,729,984,65,641,957,561,873,956
433185,Eaches,1263,11,1124,139,145,1366,517,1074,813,168,438,961
433193,Eaches,971,790,1245,174,113,448,1010,552,963,311,132,120
433359,Eaches,1059,1520,673,1656,1887,256,299,646,572,1703,861,1744
433797,Eaches,4908,4603,670,3569,3293,2689,2295,1090,4687,2751,1935,4373
434019,Eaches,402,206,171,465,376,459,266,487,42,197,43,322
434191,Eaches,1301,1878,3039,2172,2608,1972,319,921,2810,2080,529,1830
434365,Eaches,299,160,3356,4267,1338,5671,4954,728,4099,2910,4066,614
434779,Eaches,6212,5414,4882,654,5684,3200,3264,5111,3551,1651,4760,1356
434795,Eaches,503,428,189,378,493,242,226,90,303,152,424,467
439927,Eaches,6,8,5,8,5,6,7,0,5,5,2,4
450001,Eaches,958,466,1217,360,612,400,1070,88,187,619,1041,899
450022,Eaches,282,55,968,813,1280,51,173,846,763,723,95,860
450024,Eaches,544,27,444,511,336,376,507,520,113,328,536,549
450030,Eaches,32,107,1,151,158,72,175,48,87,11,68,116
450071,Eaches,479,223,417,395,14,391,229,340,268,69,15,124
452151,Eaches,191,271,435,475,199,120,192,85,110,22,151,156
470006,Eaches,912,331,292,521,875,233,765,397,686,429,822,548
470011,Eaches,638,326,163,72,503,826,146,393,267,401,923,284
470012,Eaches,447,635,629,350,331,416,52,532,1010,570,217,548
470023,Eaches,1,0,1,1,1,0,0,1,1,1,1,1
470035,Eaches,525,989,240,922,625,974,187,920,365,119,498,668
470526,Eaches,0,0,1,1,1,1,1,1,0,1,0,0
470682,Eaches,156,44,55,170,170,119,28,50,62,110,53,141
700018,Eaches,1502,1521,1782,15,741,731,2714,2914,2133,1597,2945,330
700020,Eaches,132,355,178,167,507,590,150,481,38,210,301,549
700138,Eaches,6247,7151,8665,6711,13134,10480,12708,5297,13789,9471,3364,5025
700146,Eaches,6500,7624,9787,4605,2438,3096,9489,7749,2179,2690,6519,9755
700187,Eaches,1691,589,197,125,683,981,2130,2188,674,1958,1206,629
700249,Eaches,5,22,25,4,40,25,34,14,10,35,34,31
700250,Eaches,1787,1471,209,1567,1793,1789,965,326,1259,1029,248,417
700251,Eaches,5,28,1,2,17,7,21,12,4,18,16,0
700257,Eaches,2687,1012,1328,202,6668,7169,7194,2802,6159,3381,1879,856
700258,Eaches,45,4762,2833,135,2495,1053,441,1573,3283,768,2661,1503
700259,Eaches,2992,1742,3905,3238,4875,1716,3617,3751,3683,4846,5008,2439
700261,Eaches,3743,5040,7560,1239,5563,4337,7257,6141,7544,340,5314,4131
700268,Eaches,26,29,9,13,29,6,11,27,25,28,4,12
700269,Eaches,220,15,169,432,449,403,296,154,74,324,41,406
700284,Eaches,631,1205,395,910,671,885,716,351,699,147,856,392
700285,Eaches,727,583,956,417,309,399,551,735,604,238,307,121
700318,Eaches,298,310,278,81,138,262,0,200,310,128,265,217
700320,Eaches,144,126,292,271,338,28,449,406,258,296,433,177
700322,Eaches,18,130,369,77,74,273,293,85,292,87,214,59
700323,Eaches,15,155,157,113,10,158,199,4,181,195,333,187
700324,Eaches,306,343,182,345,131,200,1,320,269,173,167,53
700327,Eaches,335,263,400,55,297,350,43,323,401,101,291,379
700332,Eaches,245,4,33,43,184,74,121,116,183,145,253,32
700333,Eaches,168,174,74,30,156,159,117,165,150,83,161,67
700338,Eaches,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1
700339,Eaches,67,357,234,2,233,179,276,207,135,34,226,54
700353,Eaches,709,377,320,137,239,397,32,390,361,473,710,192
700395,Eaches,30,179,464,431,498,228,46,43,215,450,11,107
700404,Eaches,69,531,411,267,612,389,624,63,211,337,150,145
700405,Eaches,329,352,312,324,133,401,304,145,365,399,151,189
700633,Eaches,182,246,268,234,123,64,487,506,118,466,473,79
700849,Eaches,240,132,212,192,14,268,285,194,244,238,26,83
700856,Eaches,67,154,43,102,137,129,40,139,102,155,78,77
701003,Eaches,53435,10113,3877,42280,43843,35530,57288,11874,31437,48848,41271,2452
701367,Eaches,638,59,1243,1343,1040,101,917,185,836,800,1274,652
701375,Eaches,271,656,671,351,393,529,406,492,186,429,34,387
702738,Eaches,226,278,310,19,121,194,296,133,304,68,142,360
704353,Eaches,1717,9992,9808,3510,819,10187,6086,207,1555,14429,5337,11257
704361,Eaches,4588,7391,167,2746,2879,3819,28,5245,570,78,7152,7264
704502,Eaches,93,64,200,17,162,109,145,205,132,242,4,33
704528,Eaches,158,172,164,177,185,177,168,19,111,36,68,13
704866,Eaches,831,385,524,149,556,638,851,741,959,674,935,502
705012,Eaches,300,132,120,456,403,154,22,87,96,116,89,230
706036,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
708404,Eaches,4,5,2,3,2,1,3,4,2,6,1,3
708412,Eaches,289,71,120,74,78,205,189,74,161,31,134,271
708420,Eaches,328,19,109,136,228,153,358,261,237,216,112,348
708438,Eaches,3,6,5,6,4,4,5,5,0,1,6,5
710324,Eaches,32,764,671,614,659,455,126,35,273,176,216,296
720322,Eaches,269,184,22,265,240,171,258,28,320,48,275,159
750018,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
750101,Eaches,0,1,1,1,0,1,1,0,1,1,1,0
750152,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
750154,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
752741,Eaches,159,45,158,57,149,29,93,109,69,149,29,55
753699,Eaches,143,39,102,39,61,110,169,197,83,32,70,141
755868,Eaches,96,92,147,137,95,51,38,9,208,25,196,211
760009,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
770035,Eaches,2,110,120,3,34,42,249,240,59,33,212,164
770036,Eaches,9,1,5,3,8,2,11,11,2,18,15,13
770061,Eaches,66,217,41,44,96,167,77,192,161,68,91,130
770071,Eaches,51,19,245,128,159,164,184,6,207,79,193,154
770134,Eaches,18,591,352,322,433,553,565,506,419,403,57,393
770145,Eaches,595,561,103,215,204,181,324,654,376,482,327,259
770149,Eaches,55,106,40,28,9,29,20,40,57,70,53,57
770271,Eaches,8,13,2,17,20,7,20,19,4,2,9,15
770289,Eaches,16,19,13,16,17,4,7,18,9,8,23,9
771113,Eaches,66,27,75,71,104,24,19,64,57,50,120,103
771253,Eaches,84,274,233,96,54,138,125,123,243,290,46,239
771444,Eaches,53,55,18,54,3,142,72,35,93,201,165,197
771733,Eaches,252,25,314,49,208,70,106,219,136,66,52,35
772202,Eaches,103,205,196,170,85,228,3,181,117,196,33,93
772210,Eaches,178,139,121,120,146,30,94,18,146,96,91,28
772301,Eaches,198,272,96,231,236,19,122,11,210,263,146,29
772343,Eaches,120,253,75,184,250,208,98,10,205,136,61,29
772384,Eaches,45,170,180,167,36,192,97,233,81,91,63,169
772541,Eaches,191,141,96,9,4,92,52,137,34,16,112,9
772632,Eaches,124,115,67,78,26,84,111,150,22,75,11,106
772657,Eaches,5,4,29,42,55,3,61,132,38,141,92,61
772822,Eaches,113,217,328,283,22,337,204,358,76,248,372,30
772871,Eaches,106,85,35,249,361,348,282,16,233,257,325,288
772889,Eaches,139,284,312,227,0,69,217,20,109,105,96,1
772897,Eaches,47,163,240,255,85,71,135,202,189,242,102,93
772905,Eaches,58,150,105,101,8,68,53,81,145,39,4,42
1010004,Eaches,20,976,746,811,886,1056,750,323,270,851,246,742
1010005,Eaches,1395,929,511,147,442,1325,248,315,767,232,411,996
1010006,Eaches,803,176,744,1071,357,937,149,452,779,1032,969,531
1010007,Eaches,815,121,936,117,854,869,849,285,690,205,730,973
1010008,Eaches,806,636,261,592,306,572,3,343,253,1000,971,335
1010009,Eaches,1056,740,785,765,397,400,306,628,489,123,543,956
1010010,Eaches,1811,1619,622,74,942,548,118,1340,1078,1924,509,1304
1010011,Eaches,718,142,60,354,796,363,40,613,579,676,835,293
1010019,Eaches,274,292,219,281,255,149,301,141,185,129,109,238
1013333,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1030042,Eaches,53,82,126,10,1,38,1,67,33,73,28,103
1030052,Eaches,59,257,535,767,966,1052,314,1518,155,239,79,1202
1030477,Eaches,90,49,31,35,89,74,7,96,53,47,53,53
1050034,Eaches,340,241,140,255,221,386,347,178,28,319,272,182
1050035,Eaches,171,106,152,108,161,112,70,137,50,16,124,97
1050036,Eaches,207,141,137,133,28,60,82,68,1,12,16,73
1050037,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1050244,Eaches,74,9,111,32,230,147,16,40,95,434,242,68
1050251,Eaches,862,922,1226,750,306,443,1195,728,586,1020,1155,1260
1050269,Eaches,352,261,211,296,648,602,612,453,362,85,323,516
1050400,Eaches,714,83,445,766,300,547,398,407,75,390,127,111
1070020,Eaches,1,1,0,1,0,0,0,0,1,1,1,0
1070022,Eaches,1115,1652,646,1723,1347,1356,104,11,93,516,994,1145
1090005,Eaches,6,0,3,9,10,11,10,11,3,14,0,15
1090009,Eaches,77,49,243,153,240,234,93,40,110,199,156,86
1090010,Eaches,991,599,1164,251,427,519,502,201,488,405,14,138
1090014,Eaches,238,217,199,93,134,59,46,121,38,83,225,109
1090547,Eaches,46,16,24,20,19,27,44,58,33,58,19,14
1090554,Eaches,1,1,0,0,0,0,0,0,1,1,0,0
1200037,Eaches,23,20,6,23,20,5,7,11,22,13,19,13
1200038,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200040,Eaches,15,2,26,44,46,0,24,14,13,14,43,21
1200043,Eaches,21,19,19,102,16,40,46,76,35,85,26,78
1200066,Eaches,33,82,21,21,0,97,101,25,11,37,78,42
1200068,Eaches,98,97,7,3,30,115,98,42,114,62,17,117
1200071,Eaches,3,5,1,0,3,6,4,3,6,4,2,0
1200072,Eaches,7,0,1,4,3,3,3,3,5,3,3,2
1200079,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200083,Eaches,40,3,7,14,1,26,2,12,5,29,21,6
1200131,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200132,Eaches,1,0,1,2,1,0,1,0,0,1,0,1
1200133,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200134,Eaches,2,3,3,2,3,2,2,2,3,2,2,1
1200135,Eaches,0,2,1,0,2,4,4,1,4,1,0,4
1200136,Eaches,1,1,1,0,0,0,0,1,1,0,0,1
1200137,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200140,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200142,Eaches,2,2,2,1,0,2,1,0,1,0,0,1
1200188,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200196,Eaches,1,1,1,0,0,0,1,1,0,1,0,1
1200205,Eaches,0,3,4,3,3,3,3,2,0,2,4,0
1200206,Eaches,2,3,1,3,3,2,2,3,2,0,2,3
1200207,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200208,Eaches,3,1,2,0,1,1,1,3,1,1,0,1
1200209,Eaches,0,2,1,2,1,1,2,2,1,1,2,1
1200210,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200212,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200220,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200221,Eaches,1,1,2,2,1,2,2,2,1,2,2,2
1200222,Eaches,0,2,3,1,2,1,2,0,3,1,0,1
1200223,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200224,Eaches,1,0,1,1,1,1,1,1,0,0,0,1
1200225,Eaches,0,1,0,0,1,1,0,1,1,0,1,1
1200226,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200227,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200228,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200230,Eaches,1,0,1,1,0,0,1,1,0,1,0,1
1200233,Eaches,1,2,1,2,1,1,0,2,2,1,2,0
1200234,Eaches,2,0,1,2,0,2,2,2,1,3,0,1
1200235,Eaches,0,0,1,1,0,1,1,0,0,1,0,0
1200236,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200239,Eaches,1,1,0,1,0,2,1,2,1,1,1,1
1200240,Eaches,0,0,0,1,0,1,0,1,0,0,1,1
1200241,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200242,Eaches,0,1,0,1,1,0,1,1,1,0,1,1
1200246,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200248,Eaches,26,84,94,106,2,75,78,94,97,85,12,92
1200256,Eaches,13,14,10,12,13,8,8,13,8,3,0,2
1200257,Eaches,1,0,1,3,2,1,3,0,4,1,0,1
1200259,Eaches,2,6,4,6,3,3,5,6,2,5,4,2
1200263,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200265,Eaches,1,1,0,1,0,0,1,1,1,1,0,0
1200270,Eaches,1,1,1,1,0,1,1,1,1,1,1,1
1200271,Eaches,2,2,1,0,0,2,2,1,0,2,2,2
1200272,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200273,Eaches,0,-1,0,-1,0,0,-1,-1,0,0,-1,0
1200274,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200275,Eaches,1,1,2,2,1,1,0,2,0,1,2,2
1200277,Eaches,5,1,4,4,4,2,4,0,2,1,3,2
1200279,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200280,Eaches,1,0,0,1,0,3,2,0,2,2,0,1
1200281,Eaches,1,0,1,1,1,1,0,0,0,0,0,1
1200282,Eaches,0,0,1,0,1,0,1,1,1,0,0,1
1200284,Eaches,1,1,0,0,0,0,0,0,1,1,0,0
1200285,Eaches,1,2,0,1,0,1,0,1,2,1,1,2
1200287,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200288,Eaches,0,0,1,0,0,0,1,0,1,0,0,0
1200300,Eaches,0,0,0,0,0,0,0,0,0,0,0,0
1200303,Eaches,1,2,1,2,2,1,0,0,0,2,1,0
