SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg,SKU,CategoryID,SKU,SupplierID
140047,Eaches,8,207,50,288,341,148,80,6,130,248,307,283,174.6666667,140047,460,Active,50282
140048,Eaches,49,237,47,207,91,7,124,35,78,220,159,101,112.9166667,140048,460,Active,50282
140049,Eaches,91,42,198,254,17,325,211,6,149,243,217,285,169.8333333,140049,460,Active,50282
140050,Eaches,10,191,301,68,145,296,161,175,213,98,318,242,184.8333333,140050,460,Active,50282
140051,Eaches,108,383,403,165,337,366,370,64,197,159,56,47,221.25,140051,460,Active,50282
140052,Eaches,181,292,240,306,357,421,164,40,378,168,397,261,267.0833333,140052,460,Active,50282
140083,Eaches,268,202,1484,601,1750,1297,922,412,2520,1490,912,1997,1154.583333,140083,460,Active,52070
140084,Eaches,97,19,139,89,164,87,78,168,173,181,185,189,130.75,140084,460,Active,52070
140098,Eaches,981,542,817,1329,938,318,875,630,487,1169,1114,1355,879.5833333,140098,460,Active,368
140099,Eaches,496,888,1218,733,1575,149,10,798,521,46,1135,784,696.0833333,140099,460,Active,368
140101,Eaches,106,107,169,1297,882,1951,981,187,2780,1038,1332,2150,1081.666667,140101,460,Active,368
140129,Eaches,5236,2438,3146,3039,4615,6680,5773,7932,8015,2096,6592,1107,4722.416667,140129,460,Active,51726
140140,Eaches,318,336,633,300,495,111,244,502,88,182,122,254,298.75,140140,460,Active,3452
140142,Eaches,542,887,2359,1264,923,3690,1757,3663,1705,1169,3265,301,1793.75,140142,460,Active,3452
140143,Eaches,133,259,71,169,116,237,362,160,23,46,354,30,163.3333333,140143,460,Active,3452
140144,Eaches,186,121,72,66,284,108,277,204,301,270,239,206,194.5,140144,460,Active,3452
140146,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,140146,460,Discontinued,3452
140147,Eaches,211,169,70,135,42,91,101,277,205,31,33,361,143.8333333,140147,460,Active,3452
140148,Eaches,381,401,82,209,197,304,186,263,187,173,12,112,208.9166667,140148,460,Active,3452
140149,Eaches,253,377,391,168,404,264,65,89,457,341,172,286,272.25,140149,460,Active,3452
140172,Eaches,568,2244,2415,2408,2441,3008,3136,2904,2125,385,675,1088,1949.75,140172,460,Active,3452
140186,Eaches,207,521,661,908,17,44,380,61,883,204,696,369,412.5833333,140186,460,Active,3452
140187,Eaches,2,5,8,0,8,6,2,1,6,9,8,9,5.333333333,140187,460,Discontinued,825
140202,Eaches,63,61,48,446,204,274,390,36,196,231,229,170,195.6666667,140202,460,Active,3452
140212,Eaches,331,400,249,574,826,469,118,363,75,652,71,818,412.1666667,140212,460,Active,52070
140213,Eaches,423,192,154,220,334,624,569,338,440,404,259,618,381.25,140213,460,Active,52070
140228,Eaches,63,334,185,467,206,177,227,392,14,56,126,18,188.75,140228,460,Active,52070
140229,Eaches,1927,631,945,1029,927,2027,1549,34,1611,1157,572,797,1100.5,140229,460,Active,16934
140237,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,140237,460,Discontinued,1172
140242,Eaches,1043,673,121,1150,1013,752,224,156,1120,353,1024,197,652.1666667,140242,460,Active,1114
140243,Eaches,397,161,336,256,17,452,194,1069,294,735,1080,589,465,140243,460,Active,1114
140250,Eaches,3652,309,737,2042,745,1098,453,1250,3329,623,2512,3577,1693.916667,140250,460,Active,95
140264,Eaches,631,410,297,95,69,161,758,544,821,706,559,595,470.5,140264,460,Active,3452
140265,Eaches,100,455,633,597,544,180,318,569,435,516,542,553,453.5,140265,460,Active,3452
140267,Eaches,851,427,852,808,76,311,531,463,901,76,181,183,471.6666667,140267,460,Active,3452
140268,Eaches,436,358,285,503,506,85,473,492,248,83,141,95,308.75,140268,460,Discontinued,3452
140274,Eaches,39,59,54,2,74,72,21,66,71,57,18,12,45.41666667,140274,460,Discontinued,52070
140491,Eaches,554,164,13,246,122,624,278,181,370,282,526,625,332.0833333,140491,460,Active,51726
140665,Eaches,3,2,1,1,4,0,2,4,1,0,0,0,1.5,140665,460,Discontinued,5638
140681,Eaches,69,385,520,736,658,902,601,590,517,519,806,455,563.1666667,140681,460,Active,3452
140699,Eaches,194,542,514,284,426,119,304,595,45,429,375,514,361.75,140699,460,Active,51726
140715,Eaches,7168,801,1927,8745,7297,4673,939,8047,4123,1056,1445,5233,4287.833333,140715,460,Active,51726
140798,Eaches,630,468,264,406,373,229,473,539,510,357,0,333,381.8333333,140798,460,Active,52070
140806,Eaches,3982,2572,4854,3627,2585,662,5066,4901,901,295,1002,1499,2662.166667,140806,460,Active,51726
140939,Eaches,687,113,764,2069,534,2240,970,3264,1645,2773,3652,3454,1847.083333,140939,460,Active,52070
140947,Eaches,1164,1012,1873,1466,2012,297,16,2192,1477,653,186,415,1063.583333,140947,460,Active,52070
141002,Eaches,1122,1391,1397,2710,1503,183,2366,1941,1214,2235,2061,2714,1736.416667,141002,460,Active,52070
141010,Eaches,2612,211,2195,2319,1948,2564,1330,2293,1946,933,1346,80,1648.083333,141010,460,Active,51726
141119,Eaches,8,1,11,5,25,20,26,5,11,30,1,21,13.66666667,141119,460,Discontinued,5638
141127,Eaches,244,31,162,27,212,10,104,173,49,210,109,152,123.5833333,141127,460,Active,5638
141135,Eaches,169,372,342,207,268,280,99,376,177,61,345,319,251.25,141135,460,Active,5638
141200,Eaches,1334,879,406,622,363,1142,1514,1011,405,527,587,833,801.9166667,141200,460,Active,46533
141218,Eaches,1193,146,455,447,808,690,1867,517,1900,1147,1751,250,930.9166667,141218,460,Active,46533
141382,Eaches,193,460,414,860,328,94,665,526,1148,850,848,597,581.9166667,141382,460,Active,3452
142422,Eaches,235,575,490,363,609,208,606,69,405,12,195,110,323.0833333,142422,460,Active,3452
142430,Eaches,61,130,39,52,50,27,64,92,12,18,114,112,64.25,142430,460,Active,3452
142448,Eaches,9,38,121,142,82,42,134,69,57,67,40,58,71.58333333,142448,460,Active,3452
142497,Eaches,79,1395,594,402,1147,1029,1180,1274,537,1413,293,1456,899.9166667,142497,460,Active,3452
142554,Eaches,114,199,21,112,395,365,223,179,392,300,193,405,241.5,142554,460,Active,50282
142562,Eaches,364,103,66,388,256,424,165,284,182,238,71,25,213.8333333,142562,460,Active,50282
142570,Eaches,296,104,53,440,370,342,458,506,569,256,180,391,330.4166667,142570,460,Active,50282
142604,Eaches,258,170,69,75,285,53,17,346,182,320,355,41,180.9166667,142604,460,Active,50282
142711,Eaches,69,31,232,194,239,105,184,141,20,130,32,4,115.0833333,142711,460,Active,50282
400001,Eaches,233,232,636,651,783,661,367,267,285,405,327,199,420.5,400001,320,Active,32025
400002,Eaches,607,605,667,1123,1142,1136,554,1112,869,462,879,914,839.1666667,400002,320,Active,32025
400044,Eaches,577,511,1051,855,319,514,388,314,11,1140,995,1008,640.25,400044,320,Active,32025
400069,Eaches,504,671,403,332,329,474,66,674,416,45,606,731,437.5833333,400069,320,Active,32025
400077,Eaches,390,526,31,454,10,634,41,443,58,377,425,76,288.75,400077,320,Active,32025
400143,Eaches,1058,1228,376,1286,250,1382,667,193,1088,480,1203,953,847,400143,320,Active,32025
400150,Eaches,605,653,253,274,684,110,236,107,248,87,279,400,328,400150,320,Active,32025
400168,Eaches,25,460,2013,1284,1686,486,1606,620,541,1051,1034,2135,1078.416667,400168,320,Active,32025
400176,Eaches,677,459,349,250,459,58,200,167,527,491,354,294,357.0833333,400176,320,Active,32025
400184,Eaches,1875,941,911,1721,636,961,80,2105,413,1677,246,541,1008.916667,400184,320,Active,32025
400192,Eaches,1431,458,1025,224,1375,666,792,1069,232,1301,1176,936,890.4166667,400192,320,Active,32025
400200,Eaches,927,1385,1097,1017,109,519,1073,1268,1183,876,519,120,841.0833333,400200,320,Active,32025
400218,Eaches,788,756,3264,3265,2005,3474,2279,3904,4023,3747,2989,2335,2735.75,400218,320,Active,32025
400226,Eaches,1768,1730,432,495,2521,505,1853,2787,2351,647,2839,1562,1624.166667,400226,320,Active,32025
400234,Eaches,853,2730,569,1082,2476,1407,218,1829,1489,1710,250,571,1265.333333,400234,320,Active,32025
400242,Eaches,279,737,1559,1038,1459,1723,1031,1921,1164,1441,822,1908,1256.833333,400242,320,Active,32025
400259,Eaches,1033,567,354,333,1019,1087,662,409,841,483,1070,848,725.5,400259,320,Active,32025
400267,Eaches,966,2012,1617,1152,141,395,1196,455,1724,974,53,1181,988.8333333,400267,320,Active,32025
400275,Eaches,66,652,104,327,423,217,905,744,317,771,336,778,470,400275,320,Active,32025
410187,Eaches,-329,-196,-283,-250,-236,-298,-194,-147,-333,-123,-1,-229,-218.25,410187,320,Pre Active,2044
415000,Eaches,1,1,1,0,1,1,0,0,0,0,0,1,0.5,415000,320,Discontinued,2044
430008,Eaches,156,185,93,892,654,438,916,553,613,385,368,279,461,430008,320,Active,52070
430010,Eaches,108,600,859,786,792,53,565,869,635,595,231,292,532.0833333,430010,320,Active,52070
430018,Eaches,213,263,116,385,359,143,267,77,386,304,124,347,248.6666667,430018,320,Active,85243
430023,Eaches,223,461,146,533,221,78,515,72,430,575,667,538,371.5833333,430023,320,Active,52070
430026,Eaches,174,327,347,272,286,163,333,301,291,56,397,181,260.6666667,430026,320,Active,52070
430037,Eaches,575,320,252,547,405,146,268,517,145,61,185,460,323.4166667,430037,320,Active,52070
430041,Eaches,353,1169,485,189,628,87,216,227,1983,343,1360,80,593.3333333,430041,320,Active,32025
430044,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,430044,200,Discontinued,60309
430058,Eaches,577,1352,983,216,1085,1343,1804,1334,199,1391,448,931,971.9166667,430058,320,Active,446
430066,Eaches,1300,747,1292,1257,1201,51,645,1296,1279,1425,1553,193,1019.916667,430066,320,Active,446
430071,Eaches,736,161,740,554,399,142,441,20,295,786,842,237,446.0833333,430071,320,Active,52070
430074,Eaches,986,6,325,76,277,1157,436,1194,347,542,72,441,488.25,430074,320,Active,52070
430137,Eaches,5107,5452,4093,2379,2189,2962,1544,4171,1979,3288,1737,3247,3179,430137,320,Active,3287
430138,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,430138,320,Discontinued,3287
430139,Eaches,32,1644,4520,4942,5471,674,2973,2116,2553,628,2446,5466,2788.75,430139,320,Active,3287
430140,Eaches,1011,235,1393,485,2221,570,1763,265,716,227,258,220,780.3333333,430140,320,Active,3287
430165,Eaches,2813,2940,552,2137,99,3645,2384,2124,478,2683,724,3329,1992.333333,430165,320,Active,3287
430204,Eaches,335,637,654,623,455,502,1161,564,370,368,721,1407,649.75,430204,320,Active,446
430208,Eaches,564,402,2051,168,684,1884,2136,1107,216,1014,646,708,965,430208,320,Active,446
430209,Eaches,341,925,112,889,835,269,627,1082,977,84,599,664,617,430209,320,Active,446
430210,Eaches,134,282,5,566,57,269,4,477,498,553,310,424,298.25,430210,320,Active,446
430212,Eaches,213,61,129,186,165,90,264,97,132,85,255,155,152.6666667,430212,320,Active,446
430213,Eaches,402,565,676,455,575,142,22,533,66,559,538,635,430.6666667,430213,320,Active,446
430215,Eaches,52,158,176,246,84,195,264,263,185,83,213,247,180.5,430215,320,Active,32023
430216,Eaches,20,61,27,18,114,23,58,111,72,35,63,120,60.16666667,430216,320,Active,52070
430219,Eaches,356,399,368,708,1146,822,660,618,1172,590,1089,674,716.8333333,430219,320,Active,3287
430221,Eaches,1509,26,1098,272,1431,452,599,1328,1208,1137,885,271,851.3333333,430221,320,Active,3287
430237,Eaches,192,211,773,579,745,381,727,476,261,103,834,117,449.9166667,430237,320,Active,32025
430253,Eaches,677,371,656,312,352,560,230,91,311,206,264,383,367.75,430253,320,Active,3287
430254,Eaches,4097,4442,853,4475,4486,5152,2573,4820,4767,261,1865,1997,3315.666667,430254,320,Active,3287
430255,Eaches,2531,4632,7790,4626,3550,7175,1764,4033,7402,6694,2353,5123,4806.083333,430255,320,Active,3287
430257,Eaches,3407,3844,3589,2715,2200,4032,1947,263,4078,823,124,1360,2365.166667,430257,320,Active,3287
430258,Eaches,1711,257,1823,2503,120,1338,2111,1973,2009,2835,4,1996,1556.666667,430258,320,Active,3287
430259,Eaches,541,847,1185,183,1215,834,719,722,248,391,391,1075,695.9166667,430259,320,Active,3287
430260,Eaches,719,126,720,240,81,399,343,495,153,503,561,777,426.4166667,430260,320,Active,3287
430261,Eaches,1820,1212,1996,2290,1140,2146,605,1923,108,328,632,1101,1275.083333,430261,320,Active,3287
430262,Eaches,887,824,810,169,1299,1290,579,1031,1269,817,1341,160,873,430262,320,Active,3287
430263,Eaches,904,435,53,119,329,873,41,650,927,42,994,585,496,430263,320,Active,3287
430265,Eaches,809,492,787,234,41,811,433,898,874,892,80,7,529.8333333,430265,320,Active,3287
430266,Eaches,1747,2255,760,2704,746,2645,2136,1094,1590,1033,686,871,1522.25,430266,320,Active,3287
430267,Eaches,79,324,252,64,79,896,667,952,487,653,646,288,448.9166667,430267,320,Active,3287
430268,Eaches,477,11,64,749,600,825,615,72,738,754,503,20,452.3333333,430268,320,Active,3287
430269,Eaches,1324,1124,526,1691,1177,496,966,678,1755,430,429,1553,1012.416667,430269,320,Active,3287
430275,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,430275,320,Discontinued,66673
430276,Eaches,0,7,0,1,7,4,7,4,4,5,7,5,4.25,430276,320,Discontinued,66673
430277,Eaches,1,0,0,0,0,0,1,1,0,1,0,1,0.416666667,430277,320,Discontinued,66673
430281,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,430281,320,Discontinued,66673
430333,Eaches,1295,1384,1606,1207,25,854,965,1068,403,419,745,950,910.0833333,430333,320,Active,446
430334,Eaches,2296,2304,800,1416,534,1012,415,263,1956,1924,2541,979,1370,430334,320,Active,446
430335,Eaches,1570,932,447,1671,882,104,865,217,469,1855,409,147,797.3333333,430335,320,Active,446
430370,Eaches,83,200,17,115,135,67,126,133,89,144,149,120,114.8333333,430370,320,Active,52070
430375,Eaches,313,872,174,1115,311,1059,739,244,919,542,574,457,609.9166667,430375,320,Active,3287
430377,Eaches,659,574,415,237,380,442,38,809,836,721,563,903,548.0833333,430377,320,Active,1246
430391,Eaches,4,7,1,5,6,0,0,2,3,3,0,4,2.916666667,430391,320,Discontinued,52070
430394,Eaches,5,10,4,10,11,11,1,7,1,6,1,5,6,430394,320,Seasonal,446
430395,Eaches,174,38,109,27,75,85,163,144,2,3,170,149,94.91666667,430395,320,Discontinued,446
430424,Eaches,200,259,12,240,157,394,125,391,40,300,191,414,226.9166667,430424,320,Active,52070
430426,Eaches,219,1446,1315,1455,909,1112,704,1388,1482,78,1457,1565,1094.166667,430426,320,Active,52070
430429,Eaches,359,76,56,426,62,53,108,423,159,296,437,54,209.0833333,430429,320,Active,52070
430441,Eaches,678,527,295,129,746,433,396,602,189,576,654,583,484,430441,320,Active,52070
430444,Eaches,249,350,387,516,455,185,259,247,32,263,341,383,305.5833333,430444,320,Active,52070
430450,Eaches,299,1173,139,1673,1133,501,1909,537,827,1147,1891,113,945.1666667,430450,320,Active,446
430452,Eaches,1271,891,520,51,1333,588,558,750,414,238,825,1331,730.8333333,430452,320,Active,446
430465,Eaches,88,248,90,141,107,31,105,110,220,190,248,147,143.75,430465,320,Active,52070
430469,Eaches,18,27,4,49,21,48,13,33,20,10,55,50,29,430469,320,Discontinued,5446
430471,Eaches,44,13,13,3,23,22,10,44,32,16,28,14,21.83333333,430471,320,Discontinued,5446
430850,Eaches,259,107,51,239,256,5,171,33,307,75,226,293,168.5,430850,320,Active,52070
430967,Eaches,109,73,19,131,247,182,134,221,107,116,222,216,148.0833333,430967,320,Active,32023
431205,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,431205,320,Discontinued,52070
431635,Eaches,1372,3444,1544,2987,1117,2623,1014,3506,1725,3504,1560,2130,2210.5,431635,320,Active,32025
431643,Eaches,2822,1771,2359,4058,3726,1632,2445,3702,758,1772,59,3977,2423.416667,431643,320,Active,32025
431650,Eaches,1435,1197,1404,555,1988,1198,552,309,1964,1015,1077,554,1104,431650,320,Active,32025
431668,Eaches,990,945,1087,1244,1093,141,41,189,1205,408,1101,722,763.8333333,431668,320,Active,32025
431676,Eaches,189,115,731,49,733,128,643,445,899,330,842,220,443.6666667,431676,320,Active,32025
431684,Eaches,806,624,129,906,1446,338,1935,1192,1412,76,1236,919,918.25,431684,320,Active,32025
431692,Eaches,714,627,1043,1392,539,398,409,518,791,425,997,1258,759.25,431692,320,Active,32025
431700,Eaches,1046,1976,485,1340,1839,1431,832,1916,1084,2041,2005,841,1403,431700,320,Active,32025
431742,Eaches,4590,5457,7260,6594,6972,7025,1457,4556,7382,1388,3821,73,4714.583333,431742,320,Active,3287
431783,Eaches,933,1194,240,19,1483,1075,1820,383,430,64,399,1296,778,431783,320,Active,3287
431817,Eaches,397,1094,479,604,372,1138,929,587,313,299,365,1537,676.1666667,431817,320,Active,3287
431957,Eaches,475,2450,66,1198,1574,1487,425,1257,1498,829,1268,801,1110.666667,431957,320,Active,3287
432245,Eaches,775,519,527,267,722,215,715,485,642,259,668,418,517.6666667,432245,320,Active,3287
432344,Eaches,1065,1023,893,879,1170,79,174,152,375,405,780,658,637.75,432344,320,Active,52070
432351,Eaches,575,1279,287,348,2001,304,982,429,308,1455,1011,831,817.5,432351,320,Active,52070
432369,Eaches,10,44,17,83,89,1013,501,678,494,654,323,294,350,432369,320,Active,52070
432377,Eaches,528,747,202,984,105,63,116,762,211,259,629,930,461.3333333,432377,320,Active,52070
432518,Eaches,1527,1445,167,1148,43,962,482,2922,1907,1305,1113,1720,1228.416667,432518,320,Active,52070
432591,Eaches,167,634,811,135,87,82,614,460,695,199,791,831,458.8333333,432591,320,Active,3287
432609,Eaches,493,551,24,562,503,239,302,289,175,65,521,334,338.1666667,432609,320,Active,3287
432625,Eaches,1395,529,1816,1687,1302,1008,1690,137,969,489,59,1966,1087.25,432625,320,Active,3287
432708,Eaches,4160,2751,1320,2266,373,3978,4017,2642,60,3318,3062,875,2401.833333,432708,320,Active,3287
432724,Eaches,8,586,551,99,476,251,522,591,903,440,961,968,529.6666667,432724,320,Active,3287
432732,Eaches,64,574,875,832,1129,315,690,976,831,548,163,831,652.3333333,432732,320,Active,3287
432765,Eaches,536,607,950,742,803,817,552,641,415,889,848,604,700.3333333,432765,320,Active,3287
433144,Eaches,254,727,453,974,533,88,932,825,588,841,556,772,628.5833333,433144,320,Active,3287
433169,Eaches,1302,1147,376,494,1417,506,1486,568,574,410,1048,1406,894.5,433169,320,Active,3287
433177,Eaches,58,601,388,844,729,984,65,641,957,561,873,956,638.0833333,433177,320,Active,3287
433185,Eaches,1263,11,1124,139,145,1366,517,1074,813,168,438,961,668.25,433185,320,Active,3287
433193,Eaches,971,790,1245,174,113,448,1010,552,963,311,132,120,569.0833333,433193,320,Active,3287
433359,Eaches,1059,1520,673,1656,1887,256,299,646,572,1703,861,1744,1073,433359,320,Active,52070
433797,Eaches,4908,4603,670,3569,3293,2689,2295,1090,4687,2751,1935,4373,3071.916667,433797,320,Active,52070
434019,Eaches,402,206,171,465,376,459,266,487,42,197,43,322,286.3333333,434019,320,Active,52070
434191,Eaches,1301,1878,3039,2172,2608,1972,319,921,2810,2080,529,1830,1788.25,434191,320,Active,52070
434365,Eaches,299,160,3356,4267,1338,5671,4954,728,4099,2910,4066,614,2705.166667,434365,320,Active,52070
434779,Eaches,6212,5414,4882,654,5684,3200,3264,5111,3551,1651,4760,1356,3811.583333,434779,320,Active,52070
434795,Eaches,503,428,189,378,493,242,226,90,303,152,424,467,324.5833333,434795,320,Active,1731
439927,Eaches,6,8,5,8,5,6,7,0,5,5,2,4,5.083333333,439927,320,Discontinued,52070
450001,Eaches,958,466,1217,360,612,400,1070,88,187,619,1041,899,659.75,450001,320,Active,52070
450022,Eaches,282,55,968,813,1280,51,173,846,763,723,95,860,575.75,450022,320,Active,1731
450024,Eaches,544,27,444,511,336,376,507,520,113,328,536,549,399.25,450024,320,Active,1731
450030,Eaches,32,107,1,151,158,72,175,48,87,11,68,116,85.5,450030,320,Active,52070
450071,Eaches,479,223,417,395,14,391,229,340,268,69,15,124,247,450071,320,Active,52070
452151,Eaches,191,271,435,475,199,120,192,85,110,22,151,156,200.5833333,452151,320,Active,52070
470006,Eaches,912,331,292,521,875,233,765,397,686,429,822,548,567.5833333,470006,320,Active,1731
470011,Eaches,638,326,163,72,503,826,146,393,267,401,923,284,411.8333333,470011,320,Active,327
470012,Eaches,447,635,629,350,331,416,52,532,1010,570,217,548,478.0833333,470012,320,Active,52070
470023,Eaches,1,0,1,1,1,0,0,1,1,1,1,1,0.75,470023,320,Discontinued,52070
470035,Eaches,525,989,240,922,625,974,187,920,365,119,498,668,586,470035,320,Active,52070
470526,Eaches,0,0,1,1,1,1,1,1,0,1,0,0,0.583333333,470526,320,Discontinued,52070
470682,Eaches,156,44,55,170,170,119,28,50,62,110,53,141,96.5,470682,320,Active,52070
700018,Eaches,1502,1521,1782,15,741,731,2714,2914,2133,1597,2945,330,1577.083333,700018,330,Active,36781
700020,Eaches,132,355,178,167,507,590,150,481,38,210,301,549,304.8333333,700020,330,Active,36781
700138,Eaches,6247,7151,8665,6711,13134,10480,12708,5297,13789,9471,3364,5025,8503.5,700138,330,Active,46533
700146,Eaches,6500,7624,9787,4605,2438,3096,9489,7749,2179,2690,6519,9755,6035.916667,700146,330,Active,46533
700187,Eaches,1691,589,197,125,683,981,2130,2188,674,1958,1206,629,1087.583333,700187,380,Active,36781
700249,Eaches,5,22,25,4,40,25,34,14,10,35,34,31,23.25,700249,360,Discontinued,16934
700250,Eaches,1787,1471,209,1567,1793,1789,965,326,1259,1029,248,417,1071.666667,700250,360,Seasonal,16934
700251,Eaches,5,28,1,2,17,7,21,12,4,18,16,0,10.91666667,700251,360,Seasonal,16934
700257,Eaches,2687,1012,1328,202,6668,7169,7194,2802,6159,3381,1879,856,3444.75,700257,330,Active,85243
700258,Eaches,45,4762,2833,135,2495,1053,441,1573,3283,768,2661,1503,1796,700258,330,Active,85243
700259,Eaches,2992,1742,3905,3238,4875,1716,3617,3751,3683,4846,5008,2439,3484.333333,700259,330,Active,85243
700261,Eaches,3743,5040,7560,1239,5563,4337,7257,6141,7544,340,5314,4131,4850.75,700261,330,Active,85243
700268,Eaches,26,29,9,13,29,6,11,27,25,28,4,12,18.25,700268,380,Pre Active,36781
700269,Eaches,220,15,169,432,449,403,296,154,74,324,41,406,248.5833333,700269,380,Discontinued,36781
700284,Eaches,631,1205,395,910,671,885,716,351,699,147,856,392,654.8333333,700284,450,Active,52070
700285,Eaches,727,583,956,417,309,399,551,735,604,238,307,121,495.5833333,700285,450,Active,52070
700318,Eaches,298,310,278,81,138,262,0,200,310,128,265,217,207.25,700318,450,Active,52070
700320,Eaches,144,126,292,271,338,28,449,406,258,296,433,177,268.1666667,700320,450,Active,52070
700322,Eaches,18,130,369,77,74,273,293,85,292,87,214,59,164.25,700322,450,Active,52070
700323,Eaches,15,155,157,113,10,158,199,4,181,195,333,187,142.25,700323,450,Active,52070
700324,Eaches,306,343,182,345,131,200,1,320,269,173,167,53,207.5,700324,450,Active,52070
700327,Eaches,335,263,400,55,297,350,43,323,401,101,291,379,269.8333333,700327,450,Active,52070
700332,Eaches,245,4,33,43,184,74,121,116,183,145,253,32,119.4166667,700332,450,Active,52070
700333,Eaches,168,174,74,30,156,159,117,165,150,83,161,67,125.3333333,700333,450,Active,52070
700338,Eaches,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-0.833333333,700338,330,Discontinued,52070
700339,Eaches,67,357,234,2,233,179,276,207,135,34,226,54,167,700339,330,Active,52070
700353,Eaches,709,377,320,137,239,397,32,390,361,473,710,192,361.4166667,700353,330,Active,1048
700395,Eaches,30,179,464,431,498,228,46,43,215,450,11,107,225.1666667,700395,450,Active,52070
700404,Eaches,69,531,411,267,612,389,624,63,211,337,150,145,317.4166667,700404,450,Active,52070
700405,Eaches,329,352,312,324,133,401,304,145,365,399,151,189,283.6666667,700405,450,Active,52070
700633,Eaches,182,246,268,234,123,64,487,506,118,466,473,79,270.5,700633,330,Active,36781
700849,Eaches,240,132,212,192,14,268,285,194,244,238,26,83,177.3333333,700849,330,Active,36781
700856,Eaches,67,154,43,102,137,129,40,139,102,155,78,77,101.9166667,700856,330,Active,36781
701003,Eaches,53435,10113,3877,42280,43843,35530,57288,11874,31437,48848,41271,2452,31854,701003,330,Active,36781
701367,Eaches,638,59,1243,1343,1040,101,917,185,836,800,1274,652,757.3333333,701367,380,Active,36781
701375,Eaches,271,656,671,351,393,529,406,492,186,429,34,387,400.4166667,701375,380,Active,36781
702738,Eaches,226,278,310,19,121,194,296,133,304,68,142,360,204.25,702738,380,Active,36781
704353,Eaches,1717,9992,9808,3510,819,10187,6086,207,1555,14429,5337,11257,6242,704353,330,Active,46533
704361,Eaches,4588,7391,167,2746,2879,3819,28,5245,570,78,7152,7264,3493.916667,704361,330,Active,46533
704502,Eaches,93,64,200,17,162,109,145,205,132,242,4,33,117.1666667,704502,330,Active,46533
704528,Eaches,158,172,164,177,185,177,168,19,111,36,68,13,120.6666667,704528,330,Active,46533
704866,Eaches,831,385,524,149,556,638,851,741,959,674,935,502,645.4166667,704866,330,Active,36781
705012,Eaches,300,132,120,456,403,154,22,87,96,116,89,230,183.75,705012,330,Active,46533
706036,Eaches,0,0,0,0,0,0,0,0,0,0,0,0,0,706036,330,Discontinued,46533
708404,Eaches,4,5,2,3,2,1,3,4,2,6,1,3,3,708404,330,Discontinued,60308
708412,Eaches,289,71,120,74,78,205,189,74,161,31,134,271,141.4166667,708412,330,Active,60308
708420,Eaches,328,19,109,136,228,153,358,261,237,216,112,348,208.75,708420,330,Active,60308
